,Unnamed: 0,BHSsort,〔KJVverseID｜book｜chapter｜verse〕,BHSA,extendedStrongNumber,Root
14480,106358,106359,〔5527｜5｜24｜1〕,<H>כְּרִיתֻת֙<h><H> <h>,3748,כרת
44846,331651,331652,〔15944｜19｜119｜45〕,<H>פִקֻּדֶ֣יךָ<h><H> <h>,6490,פקד
51391,370136,370137,〔21741｜27｜1｜3〕,<H>מְּלוּכָ֖ה<h><H> <h>,4410,מלכ
38888,295082,295083,〔22348｜29｜3｜4〕,<H>גְּמ֗וּל<h><H> <h>,1576,גמל
56557,405122,405123,〔11123｜13｜27｜13〕,<H>מַֽחֲלֻקְתֹּ֔ו<h><H> <h>,4256,חלק
55002,390053,390054,〔12652｜16｜12｜27〕,<H>חֲנֻכָּ֤ה<h><H> <h>,2598,חנכ
31682,246173,246174,〔19497｜24｜23｜12〕,<H>פְּקֻדָּתָ֖ם<h><H> <h>,6486,פקד
12537,91490,91491,〔4823｜4｜34｜6〕,<H>גְב֣וּל<h><H> <h>,1366,גבל
53172,378257,378258,〔12021｜15｜1｜4〕,<H>רְכ֣וּשׁ<h><H> <h>,7399,רכשׁ
19230,148198,148199,〔7504｜9｜13｜18〕,<H>גְּב֔וּל<h><H> <h>,1366,גבל
10404,74671,74672,〔3904｜4｜7｜53〕,<H>עַתֻּדִ֣ים<h><H> <h>,6260,עתד
23010,180897,180898,〔8938｜11｜7｜3〕,<H>עַמּוּדִ֔ים<h><H> <h>,5982,עמד
47938,349628,349629,〔16689｜20｜10｜32〕,<H>תַּהְפֻּכֹֽות<h><H>׃ <h>,8419,הפכ
29127,227906,227907,〔18564｜23｜45｜2〕,<H>נְחוּשָׁה֙<h><H> <h>,5154,נחשׁ
47399,346552,346553,〔13916｜18｜41｜27〕,<H>נְחוּשָֽׁה<h><H>׃ <h>,5154,נחשׁ
32923,257312,257313,〔19959｜24｜41｜1〕,<H>מְּלוּכָה<h><H> <h>,4410,מלכ
46291,340309,340310,〔13263｜18｜17｜2〕,<H>הֲ֭תֻלִים<h><H> <h>,2049,התל
2436,20217,20218,〔1087｜1｜37｜3〕,<H>זְקֻנִ֥ים<h><H> <h>,2208,זקנ
28251,222203,222204,〔18240｜23｜30｜22〕,<H>אֲפֻדַּ֖ת<h><H> <h>,642,אפד
26589,211586,211587,〔10236｜12｜25｜13〕,<H>עַמּוּדֵ֨י<h><H> <h>,5982,עמד
41831,314791,314792,〔14319｜19｜29｜10〕,<H>מַּבּ֣וּל<h><H> <h>,3999,יבל
30047,233712,233713,〔18882｜23｜63｜15〕,<H>זְּבֻ֥ל<h><H> <h>,2073,זבל
9977,72404,72405,〔3775｜4｜4｜31〕,<H>עַמּוּדָ֥יו<h><H> <h>,5982,עמד
51034,367993,367994,〔12797｜17｜6｜3〕,<H>גְדוּלָּ֛ה<h><H> <h>,1420,גדל
44859,331734,331735,〔15955｜19｜119｜56〕,<H>פִקֻּדֶ֣יךָ<h><H> <h>,6490,פקד
56000,400658,400659,〔10885｜13｜17｜21〕,<H>גְּדֻלֹּ֣ות<h><H> <h>,1420,גדל
16172,120404,120405,〔6158｜6｜13｜3〕,<H>גְּב֤וּל<h><H> <h>,1366,גבל
6600,50608,50609,〔2644｜2｜38｜10〕,<H>עַמֻּדִ֛ים<h><H> <h>,5982,עמד
9979,72408,72409,〔3776｜4｜4｜32〕,<H>עַמּוּדֵי֩<h><H> <h>,5982,עמד
47775,348730,348731,〔16592｜20｜7｜16〕,<H>חֲ֝טֻבֹ֗ות<h><H> <h>,2405,חטב
44804,331424,331425,〔15914｜19｜119｜15〕,<H>פִקֻּדֶ֥יךָ<h><H> <h>,6490,פקד
6610,50628,50629,〔2645｜2｜38｜11〕,<H>עַמּוּדִ֛ים<h><H> <h>,5982,עמד
38215,290686,290687,〔21725｜26｜48｜22〕,<H>אֲחֻזַּ֤ת<h><H> <h>,272,אחז
28466,223357,223358,〔18310｜23｜34｜6〕,<H>עַתּוּדִ֔ים<h><H> <h>,6260,עתד
52526,374389,374390,〔21928｜27｜6｜22〕,<H>חֲבוּלָ֖ה<h><H> <h>,2248,חבל
35266,273696,273697,〔20904｜26｜20｜8〕,<H>שִׁקּוּצֵ֤י<h><H> <h>,8251,שׁקצ
16212,120800,120801,〔6178｜6｜13｜23〕,<H>גְב֑וּל<h><H> <h>,1366,גבל
48628,353091,353092,〔17055｜20｜23｜10〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
22400,176131,176132,〔8721｜11｜1｜3〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
29894,232861,232862,〔18837｜23｜60｜15〕,<H>עֲזוּבָ֥ה<h><H> <h>,5805,עזב
47911,349467,349468,〔16673｜20｜10｜16〕,<H>פְּעֻלַּ֣ת<h><H> <h>,6468,פעל
37401,286795,286796,〔21559｜26｜42｜6〕,<H>עַמּוּדֵ֖י<h><H> <h>,5982,עמד
30730,238835,238836,〔19150｜24｜7｜30〕,<H>שִׁקּֽוּצֵיהֶ֗ם<h><H> <h>,8251,שׁקצ
46329,340529,340530,〔13287｜18｜18｜10〕,<H>מַלְכֻּדְתֹּ֗ו<h><H> <h>,4434,לכד
37546,287508,287509,〔21590｜26｜43｜17〕,<H>גְּבוּל<h><H> <h>,1366,גבל
4099,34137,34138,〔1792｜2｜10｜14〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
12414,89984,89985,〔4724｜4｜32｜5〕,<H>אֲחֻזָּ֑ה<h><H> <h>,272,אחז
12501,91187,91188,〔4805｜4｜33｜44〕,<H>גְב֥וּל<h><H> <h>,1366,גבל
40138,303241,303242,〔22796｜36｜1｜8〕,<H>מַלְבּ֥וּשׁ<h><H> <h>,4403,לבשׁ
50780,366347,366348,〔12737｜17｜2｜12〕,<H>תַמְרוּקֵ֖י<h><H> <h>,8562,מרק
16341,121827,121828,〔6224｜6｜15｜21〕,<H>גְּב֥וּל<h><H> <h>,1366,גבל
55993,400622,400623,〔10883｜13｜17｜19〕,<H>גְּדֻלֹּֽות<h><H>׃ <h>,1420,גדל
58952,423669,423670,〔11901｜14｜32｜25〕,<H>גְמֻ֤ל<h><H> <h>,1576,גמל
33526,262020,262021,〔20175｜24｜50｜8〕,<H>עַתּוּדִ֖ים<h><H> <h>,6260,עתד
23008,180883,180884,〔8937｜11｜7｜2〕,<H>עַמּוּדִֽים<h><H>׃ <h>,5982,עמד
23203,181845,181846,〔8977｜11｜7｜42〕,<H>עַמּוּדִֽים<h><H>׃ <h>,5982,עמד
39573,299802,299803,〔22596｜33｜1｜16〕,<H>תַּעֲנוּגָ֑יִךְ<h><H> <h>,8588,ענג
36227,279250,279251,〔21204｜26｜29｜20〕,<H>פְּעֻלָּתֹו֙<h><H> <h>,6468,פעל
20146,156899,156900,〔7880｜9｜25｜18〕,<H>צִמֻּקִ֖ים<h><H> <h>,6778,צמק
37727,288561,288562,〔21637｜26｜45｜6〕,<H>אֲחֻזַּ֨ת<h><H> <h>,272,אחז
47937,349619,349620,〔16688｜20｜10｜31〕,<H>תַּ֝הְפֻּכֹ֗ות<h><H> <h>,8419,הפכ
15122,111629,111630,〔5773｜5｜32｜14〕,<H>עַתּוּדִ֔ים<h><H> <h>,6260,עתד
778,4964,4965,〔267｜1｜10｜32〕,<H>מַּבּֽוּל<h><H>׃ פ <h>,3999,יבל
737,4518,4519,〔234｜1｜9｜28〕,<H>מַּבּ֑וּל<h><H> <h>,3999,יבל
29326,229200,229201,〔18641｜23｜49｜4〕,<H>פְעֻלָּתִ֖י<h><H> <h>,6468,פעל
58800,422594,422595,〔11858｜14｜31｜3〕,<H>רְכוּשֹׁ֜ו<h><H> <h>,7399,רכשׁ
16536,123691,123692,〔6344｜6｜19｜22〕,<H>גְּבוּלָ֖ם<h><H> <h>,1366,גבל
23066,181177,181178,〔8951｜11｜7｜16〕,<H>עַמּוּדִ֖ים<h><H> <h>,5982,עמד
56603,405513,405514,〔11145｜13｜28｜1〕,<H>רְכוּשׁ<h><H>־<h>,7399,רכשׁ
41798,314639,314640,〔14305｜19｜28｜5〕,<H>פְּעֻלֹּ֣ת<h><H> <h>,6468,פעל
6611,50630,50631,〔2645｜2｜38｜11〕,<H>חֲשֻׁקֵיהֶ֖ם<h><H> <h>,2838,חשׁק
44605,330165,330166,〔15776｜19｜109｜20〕,<H>פְּעֻלַּ֣ת<h><H> <h>,6468,פעל
19114,146984,146985,〔7453｜9｜11｜7〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
49524,358531,358532,〔17604｜22｜5｜5〕,<H>מַּנְעֽוּל<h><H>׃ <h>,4514,נעל
56296,403105,403106,〔10995｜13｜23｜11〕,<H>פְקֻדָּ֖ה<h><H> <h>,6486,פקד
9378,67966,67967,〔3515｜3｜25｜45〕,<H>אֲחֻזָּֽה<h><H>׃ <h>,272,אחז
10244,74105,74106,〔3862｜4｜7｜11〕,<H>חֲנֻכַּ֖ת<h><H> <h>,2598,חנכ
10312,74347,74348,〔3880｜4｜7｜29〕,<H>עַתֻּדִ֣ים<h><H> <h>,6260,עתד
2052,16545,16546,〔884｜1｜31｜10〕,<H>עַתֻּדִים֙<h><H> <h>,6260,עתד
14177,104179,104180,〔5421｜5｜19｜14〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
26820,213079,213080,〔17719｜23｜3｜11〕,<H>גְמ֥וּל<h><H> <h>,1576,גמל
41096,310368,310369,〔23131｜39｜3｜10〕,<H>אֲרֻבֹּ֣ות<h><H> <h>,699,ארב
52235,373281,373282,〔21881｜27｜5｜6〕,<H>אַ֨רְכֻבָּתֵ֔הּ<h><H> <h>,755,רכב
17718,134949,134950,〔6852｜7｜11｜22〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
38031,290046,290047,〔21697｜26｜47｜17〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
35524,275496,275497,〔20997｜26｜22｜20〕,<H>קְבֻ֣צַת<h><H> <h>,6910,קבצ
47699,348366,348367,〔16555｜20｜6｜14〕,<H>תַּֽהְפֻּכֹ֨ות<h><H>׀ <h>,8419,הפכ
12570,91862,91863,〔4849｜4｜35｜3〕,<H>רְכֻשָׁ֔ם<h><H> <h>,7399,רכשׁ
33916,264461,264462,〔20299｜24｜52｜22〕,<H>עַמּ֥וּד<h><H> <h>,5982,עמד
46674,342521,342522,〔13498｜18｜27｜16〕,<H>מַלְבּֽוּשׁ<h><H>׃ <h>,4403,לבשׁ
16557,124002,124003,〔6369｜6｜19｜47〕,<H>גְבוּל<h><H>־<h>,1366,גבל
54924,389283,389284,〔12592｜16｜11｜3〕,<H>אֲחֻזָּתֹו֙<h><H> <h>,272,אחז
40685,307220,307221,〔22989｜38｜8｜12〕,<H>יְבוּלָ֔הּ<h><H> <h>,2981,יבל
47199,345566,345567,〔13808｜18｜38｜14〕,<H>לְבֽוּשׁ<h><H>׃ <h>,3830,לבשׁ
9326,67680,67681,〔3499｜3｜25｜29〕,<H>גְּאֻלָּתֹ֔ו<h><H> <h>,1353,גאל
9303,67567,67568,〔3493｜3｜25｜23〕,<H>צְמִתֻ֔ת<h><H> <h>,6783,צמת
40998,309526,309527,〔23094｜39｜1｜4〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
30432,236556,236557,〔19029｜24｜4｜1〕,<H>שִׁקּוּצֶ֛יךָ<h><H> <h>,8251,שׁקצ
12542,91534,91535,〔4825｜4｜34｜8〕,<H>גְּבֻ֖ל<h><H> <h>,1366,גבל
26608,211687,211688,〔10240｜12｜25｜17〕,<H>עַמּ֣וּד<h><H> <h>,5982,עמד
27975,220307,220308,〔18133｜23｜26｜2〕,<H>אֱמֻנִֽים<h><H>׃ <h>,529,אמנ
57643,412397,412398,〔11428｜14｜11｜13〕,<H>גְּבוּלָֽם<h><H>׃ <h>,1366,גבל
30008,233471,233472,〔18868｜23｜63｜1〕,<H>לְבוּשֹׁ֔ו<h><H> <h>,3830,לבשׁ
16950,127818,127819,〔6528｜7｜1｜18〕,<H>גְּבוּלָ֔הּ<h><H> <h>,1366,גבל
16112,120127,120128,〔6136｜6｜12｜5〕,<H>גְּב֥וּל<h><H> <h>,1366,גבל
16434,122935,122936,〔6299｜6｜18｜5〕,<H>גְּבוּלֹו֙<h><H> <h>,1366,גבל
9928,72099,72100,〔3760｜4｜4｜16〕,<H>פְקֻדַּ֞ת<h><H> <h>,6486,פקד
38765,294303,294304,〔22309｜29｜1｜17〕,<H>פְרֻדֹ֗ות<h><H> <h>,6507,פרד
39593,299959,299960,〔22605｜33｜2｜9〕,<H>תַּֽעֲנֻגֶ֑יהָ<h><H> <h>,8588,ענג
9578,69370,69371,〔3592｜3｜27｜21〕,<H>אֲחֻזָּתֹֽו<h><H>׃ <h>,272,אחז
11551,83555,83556,〔4364｜4｜21｜23〕,<H>גְבֻלֹו֒<h><H> <h>,1366,גבל
17260,130484,130485,〔6659｜7｜6｜4〕,<H>יְב֣וּל<h><H> <h>,2981,יבל
47820,348960,348961,〔16616｜20｜8｜13〕,<H>תַהְפֻּכֹ֬ות<h><H> <h>,8419,הפכ
46888,343582,343583,〔13608｜18｜31｜19〕,<H>לְב֑וּשׁ<h><H> <h>,3830,לבשׁ
30167,234529,234530,〔18926｜23｜66｜3〕,<H>שִׁקּוּצֵיהֶ֖ם<h><H> <h>,8251,שׁקצ
6884,51663,51664,〔2698｜2｜39｜33〕,<H>עַמֻּדָ֥יו<h><H> <h>,5982,עמד
29578,230971,230972,〔18736｜23｜54｜12〕,<H>גְּבוּלֵ֖ךְ<h><H> <h>,1366,גבל
9322,67669,67670,〔3498｜3｜25｜28〕,<H>אֲחֻזָּתֹֽו<h><H>׃ <h>,272,אחז
4071,33870,33871,〔1782｜2｜10｜4〕,<H>גְבֻלֶֽךָ<h><H>׃ <h>,1366,גבל
35075,272381,272382,〔20836｜26｜17｜10〕,<H>עֲרֻגֹ֥ת<h><H> <h>,6170,ערג
18903,145018,145019,〔7367｜9｜7｜14〕,<H>גְּבוּלָ֔ן<h><H> <h>,1366,גבל
16326,121653,121654,〔6214｜6｜15｜11〕,<H>גְּב֖וּל<h><H> <h>,1366,גבל
16547,123846,123847,〔6355｜6｜19｜33〕,<H>גְבוּלָ֗ם<h><H> <h>,1366,גבל
6652,50771,50772,〔2653｜2｜38｜19〕,<H>חֲשֻׁקֵיהֶ֖ם<h><H> <h>,2838,חשׁק
14578,107026,107027,〔5559｜5｜25｜11〕,<H>מְבֻשָֽׁיו<h><H>׃ <h>,4016,בושׁ
53008,377206,377207,〔22050｜27｜11｜13〕,<H>רְכ֥וּשׁ<h><H> <h>,7399,רכשׁ
47272,345907,345908,〔13844｜18｜39｜9〕,<H>אֲבוּסֶֽךָ<h><H>׃ <h>,18,אבס
16473,123172,123173,〔6308｜6｜18｜14〕,<H>גְּבוּל֩<h><H> <h>,1366,גבל
53754,381075,381076,〔12183｜15｜7｜9〕,<H>יְסֻ֔ד<h><H> <h>,3246,יסד
30785,239223,239224,〔19166｜24｜8｜12〕,<H>פְּקֻדָּתָ֛ם<h><H> <h>,6486,פקד
14484,106388,106389,〔5529｜5｜24｜3〕,<H>כְּרִיתֻת֙<h><H> <h>,3748,כרת
18052,137911,137912,〔6979｜7｜16｜29〕,<H>עַמּוּדֵ֣י<h><H> <h>,5982,עמד
36873,283686,283687,〔21421｜26｜37｜23〕,<H>שִׁקּ֣וּצֵיהֶ֔ם<h><H> <h>,8251,שׁקצ
36008,278129,278130,〔21143｜26｜27｜21〕,<H>עַתּוּדִ֔ים<h><H> <h>,6260,עתד
16304,121534,121535,〔6210｜6｜15｜7〕,<H>גְּבוּל֙<h><H> <h>,1366,גבל
36076,278435,278436,〔21163｜26｜28｜5〕,<H>רְכֻלָּתְךָ֖<h><H> <h>,7404,רכל
10427,74752,74753,〔3910｜4｜7｜59〕,<H>עַתֻּדִ֣ים<h><H> <h>,6260,עתד
33907,264413,264414,〔20298｜24｜52｜21〕,<H>עַמּוּדִ֗ים<h><H> <h>,5982,עמד
27210,215553,215554,〔17854｜23｜10｜3〕,<H>פְּקֻדָּ֔ה<h><H> <h>,6486,פקד
17001,128379,128380,〔6555｜7｜2｜9〕,<H>גְב֣וּל<h><H> <h>,1366,גבל
45333,334239,334240,〔16231｜19｜137｜8〕,<H>גְּ֝מוּלֵ֗ךְ<h><H> <h>,1576,גמל
57822,413932,413933,〔11498｜14｜15｜7〕,<H>פְעֻלַּתְכֶֽם<h><H>׃ ס <h>,6468,פעל
57117,408362,408363,〔11259｜14｜4｜12〕,<H>עַמּוּדִ֖ים<h><H> <h>,5982,עמד
12543,91539,91540,〔4826｜4｜34｜9〕,<H>גְּבֻל֙<h><H> <h>,1366,גבל
42304,317827,317828,〔14593｜19｜44｜21〕,<H>תַּעֲלֻמֹ֥ות<h><H> <h>,8587,עלמ
32306,251610,251611,〔19739｜24｜32｜7〕,<H>גְּאֻלָּ֖ה<h><H> <h>,1353,גאל
6596,50600,50601,〔2644｜2｜38｜10〕,<H>עַמּוּדֵיהֶ֣ם<h><H> <h>,5982,עמד
20308,158231,158232,〔7932｜9｜27｜1〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
43905,326143,326144,〔15372｜19｜89｜45〕,<H>עֲלוּמָ֑יו<h><H> <h>,5934,עלמ
14152,103911,103912,〔5410｜5｜19｜3〕,<H>גְּב֣וּל<h><H> <h>,1366,גבל
49570,358700,358701,〔17617｜22｜6｜2〕,<H>עֲרוּגֹ֖ות<h><H> <h>,6170,ערג
